YEAR,COUNTRY,NLID,RE,IR,@INF,UP,EDU
2011,France,101689.948141409,85.6,3.321058,2.11159795174997,78.622,106.610641479492
2012,France,94583.6479617821,83.7,2.535992,1.95419531613507,78.878,105.813583374023
2013,France,97591.4891303608,84,2.20435,0.863715497861826,79.135,104.376602172852
2014,France,96677.7064141504,79.9,1.666442,0.507758822937957,79.394,103.425827026367
2015,France,73772.4508822548,80.2,0.8418583,0.0375143805125363,79.655,103.396041870117
2016,France,74969.2009588387,78.4,0.4678833,0.183334861123848,79.917,103.308097839355
2017,France,86133.5017431638,78,0.8098583,1.03228275064674,80.18,103.756080627441
2018,France,93002.9735331273,80.2,0.7841083,1.85081508315494,80.444,103.773330688477
2019,France,181710.444476444,81.2,0.1302,1.10825492288292,80.709,104.292991638184
2020,France,185432.445237672,82.5,-0.1452667,0.476498852725083,,NA
2000,Germany,49213.7863855433,70,5.263958,1.44026818676794,74.965,99.9306564331055
2001,Germany,49162.4717310401,70,4.796593,1.98385693617829,75.17,100.501510620117
2002,Germany,53275.1276489698,70,4.78358,1.42080560518857,75.374,101.473670959473
2003,Germany,65986.0401440255,70,4.071143,1.03422776551069,75.577,101.820671081543
2004,Germany,74047.1784163669,70,4.037156,1.66573340932676,75.779,102.140197753906
2005,Germany,73951.3618110307,70,3.354017,1.54690965159041,75.98,102.279586791992
2006,Germany,73942.552865328,89.1,3.764125,1.57742825864226,76.179,103.058288574219
2007,Germany,79628.2841530039,88.9,4.216955,2.29834179696226,76.378,102.242286682129
2008,Germany,85460.7376363096,89.9,3.984768,2.62838174873985,76.575,103.308319091797
2009,Germany,81584.9296068846,90.3,3.222218,0.31273762987172,76.771,103.158248901367
2010,Germany,78569.2824768444,89.6,2.744267,1.10380916115812,76.966,103.974838256836
2011,Germany,86500.4049050652,89.6,2.609185,2.07517452479837,77.16,103.762420654297
2012,Germany,82839.6761384873,90.5,1.49513,2.0084909216701,77.17,102.167610168457
2013,Germany,88677.5068065698,92.1,1.571408,1.5047209800535,77.18,100.810890197754
2014,Germany,91765.2123302139,89.9,1.163472,0.906797948515676,77.19,99.7107162475586
2015,Germany,78372.1151180375,88.2,0.4951937,0.51442053951781,77.2,98.822639465332
2016,Germany,80149.1326729939,90,0.09149919,0.49174862477081,77.224,98.8119964599609
2017,Germany,83619.0752165042,86.6,0.3163361,1.50949655801608,77.261,98.4092788696289
2018,Germany,91617.066253268,86.1,0.396364,1.73216766075662,77.312,97.5934982299805
2019,Germany,171929.809948827,83.3,-0.2536345,1.4456670146976,77.376,97.5406036376953
2020,Germany,183069.758378289,82.8,-0.511024,0.506689889953274,,NA
2000,Greece,29.8544822571229,70,6.108333,3.15118062995734,72.716,87.8114929199219
2001,Greece,10712.9084038112,70,5.304167,3.37396699038281,72.913,92.3589706420898
2002,Greece,13019.4168183199,70,5.1225,3.62935894557549,73.303,97.8179473876953
2003,Greece,17508.1706891922,70,4.2675,3.53065188498046,73.689,95.5514984130859
2004,Greece,20600.6498521055,70,4.255833,2.89884895882032,74.073,95.8661880493164
2005,Greece,21485.8730791933,70,3.585,3.54507354036397,74.452,100.817489624023
2006,Greece,22403.6050596242,73.2,4.07,3.19594393017397,74.827,100.769523620605
2007,Greece,27371.2004819403,69.7,4.5,2.89500147489579,75.199,98.199333190918
2008,Greece,30377.1636433774,70.4,4.8025,4.15279744732985,75.568,NA
2009,Greece,35872.1341295991,78.7,5.174167,1.21008451783419,75.932,NA
2010,Greece,34710.8680384055,77.4,9.091666,4.71297286203605,76.292,106.317626953125
2011,Greece,28788.62617455,76.2,15.74917,3.3298640617472,76.649,103.183578491211
2012,Greece,27603.9366867962,76.3,22.4975,1.50152796054581,77.004,104.562400817871
2013,Greece,27343.6869755037,77.1,10.05417,-0.922168807001954,77.355,105.767227172852
2014,Greece,24441.977959485,75.8,6.929167,-1.31121050132494,77.702,102.289459228516
2015,Greece,19069.9281250438,73.3,9.666364,-1.7360367959808,78.046,102.200401306152
2016,Greece,18074.7991184558,73.8,8.36,-0.825651781826954,78.387,102.956848144531
2017,Greece,17412.9861201987,74.3,5.978333,1.1212354772079,78.724,104.496269226074
2018,Greece,20244.7288877147,74.4,4.185,0.625629147213626,79.058,104.877899169922
2019,Greece,18116.2032738051,74.1,2.585833,0.252978044454509,79.388,108.076858520508
2020,Greece,21241.1512022384,73.7,1.271667,-1.24795187701348,,NA
2000,Hungary,6865.0698190915,70,8.55,9.80361016908127,64.575,96.1312637329102
2001,Hungary,8036.55927423229,70,7.945,9.11680911680913,64.67,98.4505462646484
2002,Hungary,10753.021542081,70,7.085834,5.26544821583986,65.081,100.09391784668
2003,Hungary,14219.9592656377,70,6.773334,4.66101694915256,65.489,102.216659545898
2004,Hungary,16690.1401709312,70,8.291667,6.74434679569463,65.896,95.9534378051758
2005,Hungary,18362.785880065,70,6.598333,3.56151711378355,66.365,96.2646636962891
2006,Hungary,18375.2020746087,70.8,7.115833,3.93032603841,66.895,96.090087890625
2007,Hungary,21680.8683415325,70.2,6.744167,7.95874516544909,67.421,96.1671600341797
2008,Hungary,23522.7712382323,74.4,8.238334,6.0425125388106,67.943,96.0428085327148
2009,Hungary,19326.4046414745,77.4,9.123333,4.21171171171172,68.46,96.2497711181641
2010,Hungary,18150.2197815711,76.8,7.281667,4.85555795691951,68.911,97.0814895629883
2011,Hungary,17478.4912959452,76.5,7.635409,3.92992098935075,69.358,96.7992706298828
2012,Hungary,15041.0568257445,79.8,7.890833,5.65214517088651,69.678,98.060661315918
2013,Hungary,15352.0526440856,79.1,5.923333,1.73319984983107,69.953,104.715347290039
2014,Hungary,15247.2985599224,79.3,4.809166,-0.227566270988384,70.227,104.189910888672
2015,Hungary,14015.1927343777,74.5,3.4325,-0.0616446800641176,70.5,103.030616760254
